Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
19-05-2023	0,000000	0,000000	21,428647	3,138032	21,649629	17,313035	21,231000	21,366872	18,336699	21,200222	21,449931	-6,250000	-4,250000																				
	1,000000	23,616774	21,407960	3,166831	21,643386	17,282342	21,242351	21,365513	18,339443	21,195914	21,426000	5,121622	1,163966																				
	2,000000	23,423537	21,407041	3,147869	21,630808	17,273997	21,238934	21,359462	18,349436	21,198761	21,438001	5,123330	1,175600																				
	3,000000	23,561547	21,411482	3,149353	21,641856	17,276052	21,239132	21,371592	18,340290	21,202451	21,431078	5,119913	1,181946																				
	4,000000	23,927686	21,417021	3,150579	21,630871	17,261116	21,233978	21,382155	18,340020	21,193865	21,430777	5,123330	1,193580																				
	5,000000	24,059094	21,408522	3,152259	21,644098	17,242781	21,217976	21,380375	18,360610	21,197794	21,427138	5,123330	1,206272																				
	6,000000	24,010671	21,435432	3,149585	21,625728	17,219676	21,219301	21,364142	18,343295	21,211529	21,414006	5,121622	1,212618																				
	7,000000	23,851645	21,418117	3,140386	21,647417	17,233100	21,215939	21,359548	18,355113	21,205132	21,433784	5,119913	1,223194																				
	8,000000	23,886206	21,414809	3,147966	21,643398	17,221427	21,232697	21,350565	18,355096	21,189957	21,430635	5,123330	1,229540																				
	9,000000	24,010671	21,425287	3,150970	21,649025	17,201738	21,232993	21,365373	18,352352	21,189892	21,415739	5,123330	1,239059																				
	10,000000	23,900031	21,421185	3,160868	21,650865	17,192937	21,236339	21,371199	18,358165	21,196148	21,434982	5,121622	1,245405																				
	11,000000	23,589159	21,431188	3,153914	21,631653	17,185704	21,252986	21,372232	18,365160	21,197678	21,427021	5,119913	1,250693																				
	12,000000	24,086770	21,433317	3,126500	21,645875	17,160982	21,216053	21,380173	18,365628	21,202445	21,434494	5,121622	1,251751																				
	13,000000	24,045258	21,421088	3,137662	21,640944	17,155284	21,239883	21,351350	18,377873	21,192095	21,409978	5,121622	1,249635																				
	14,000000	23,713455	21,450976	3,138275	21,648418	17,152556	21,241116	21,359474	18,381878	21,202217	21,431412	5,128456	1,248578																				
