Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
18-05-2023	0,000000	0,000000	3,969227	3,709182	22,565458	15,919594	22,023838	22,081388	17,049158	22,164713	22,479210	-6,250000	-4,250000																				
	1,000000	24,543955	3,957559	3,713751	22,559357	15,892757	22,019903	22,070467	17,064748	22,155620	22,482947	-6,267326	-4,261784																				
	2,000000	24,523151	3,966480	3,701323	22,573953	15,918575	22,020350	22,074778	17,051509	22,157903	22,479931	-6,267326	-4,259668																				
	3,000000	24,349871	3,982029	3,717558	22,566834	15,902482	22,032283	22,068905	17,057959	22,161742	22,482291	-6,255367	-4,257553																				
	4,000000	24,426095	3,990509	3,705621	22,572790	15,911248	22,038670	22,063406	17,044618	22,158331	22,488730	-6,251950	-4,251207																				
	5,000000	24,634130	3,981068	3,715275	22,565156	15,901583	22,020191	22,066894	17,051093	22,164193	22,482108	-6,241699	-4,248034																				
	6,000000	24,537020	3,968720	3,726852	22,575184	15,903569	22,027163	22,055048	17,053062	22,167229	22,486697	-6,248533	-4,246976																				
	7,000000	24,467685	3,971254	3,699827	22,577156	15,909827	22,034168	22,073200	17,042836	22,154647	22,469033	-6,253658	-4,251207																				
	8,000000	24,696584	3,981468	3,698447	22,581522	15,907866	22,027810	22,061548	17,067032	22,158940	22,493910	-6,258784	-4,255438																				
	9,000000	24,412234	3,951385	3,709881	22,563054	15,912489	22,031436	22,073225	17,060786	22,162403	22,482199	-6,258784	-4,255438																				
	10,000000	24,398374	3,962039	3,711340	22,583629	15,911590	22,042563	22,065240	17,038983	22,150574	22,470620	-6,263909	-4,258611																				
	11,000000	24,377586	3,974494	3,711690	22,579787	15,906839	22,034969	22,060903	17,051077	22,154413	22,472600	-6,267326	-4,260726																				
	12,000000	24,412234	3,983802	3,720723	22,584662	15,912900	22,031723	22,081100	17,038041	22,154063	22,478331	-6,274161	-4,262841																				
	13,000000	24,543955	3,979041	3,698847	22,568069	15,900342	22,040028	22,071265	17,053971	22,153570	22,489241	-6,272452	-4,262841																				
	14,000000	24,433026	3,982548	3,704579	22,581809	15,904862	22,047223	22,084707	17,050610	22,160743	22,502197	-6,270744	-4,263899																				
	15,000000	24,446889	3,984028	3,719885	22,577129	15,919303	22,027643	22,084834	17,037668	22,176100	22,491864	-6,272452	-4,261784																				
	16,000000	24,419165	3,984695	3,729035	22,559873	15,899118	22,026923	22,065571	17,049023	22,151170	22,482632	-6,269035	-4,263899																				
	17,000000	24,433026	3,985108	3,714387	22,565817	15,889975	22,037940	22,083391	17,050415	22,159096	22,474292	-6,265618	-4,259668																				
	18,000000	24,460753	3,979881	3,693635	22,585624	15,905144	22,026754	22,083867	17,052384	22,158525	22,489306	-6,263909	-4,258611																				
	19,000000	24,433026	3,975681	3,721938	22,580944	15,899452	22,033538	22,090919	17,063171	22,158201	22,491641	-6,265618	-4,255438																				
	20,000000	24,315233	3,971414	3,713821	22,570493	15,886114	22,022611	22,108315	17,054429	22,166839	22,489346	-6,224614	-4,233227																				
	21,000000	24,502349	3,962933	3,700372	22,554987	15,910555	22,026629	22,086616	17,036463	22,177773	22,492795	-6,234865	-4,236400																				
	22,000000	24,578633	3,995776	3,724261	22,559130	15,906463	22,020788	22,090775	17,027178	22,149160	22,485163	-6,241699	-4,241688																				
	23,000000	24,433026	3,981268	3,709047	22,556147	15,916855	22,028916	22,101450	17,063994	22,161754	22,471656	-6,246824	-4,249092																				
	24,000000	24,426095	3,964866	3,716892	22,574426	15,906086	22,026398	22,107950	17,046596	22,167993	22,494316	-6,255367	-4,251207																				
	25,000000	24,564761	3,968440	3,718312	22,561509	15,905427	22,030618	22,101322	17,036980	22,149276	22,491365	-6,255367	-4,254380																				
	26,000000	24,433026	3,984628	3,725772	22,567726	15,916153	22,040982	22,103741	17,044627	22,151105	22,490552	-6,262201	-4,257553																				
	27,000000	24,439958	3,973560	3,713163	22,550715	15,892783	22,024172	22,122393	17,035275	22,149367	22,489556	-6,274161	-4,266014																				
	28,000000	24,453821	3,987108	3,732510	22,548353	15,902868	22,035153	22,117081	17,034443	22,156151	22,486146	-6,274161	-4,264957																				
