Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
	6371,000000	25,350133	22,762513	13,645249		22,678848	19,426842	23,131804	19,958114	23,080943	23,402773	23,120201	5,268554	1,631447	-2,933348	2,629332	396,882238	1,728772	1,000000	26,438911	6,258303	414,809495	1,728772	-1,000000	22,958303	6,258303	231,644092	1,110265	0,000000	-2,933348	2,629332	231,644092	1,117269	0,177148
	6372,000000	25,210883	22,765387	13,663004		22,696452	19,443018	23,125355	19,965235	23,063835	23,400737	23,125703	5,271971	1,629332	-2,933348	2,629332	396,882238	1,728772	1,000000	26,438911	6,258303	414,809495	1,728772	-1,000000	22,958303	6,258303	231,644092	1,110265	0,000000	-2,933348	2,629332	231,644092	1,117269	0,177148
	6373,000000	25,391929	22,766542	13,644434		22,689758	19,433449	23,134894	19,960206	23,064759	23,392398	23,112584	5,271971	1,631447	-2,933348	2,629332	396,882238	1,728772	1,000000	26,438911	6,258303	414,809495	1,728772	-1,000000	22,958303	6,258303	231,644092	1,110265	0,000000	-2,933348	2,629332	231,644092	1,117269	0,177148
	6374,000000	25,266570	22,774538	13,651309		22,692802	19,425924	23,125047	19,963155	23,074060	23,415323	23,129779	5,268554	1,630390	-2,911693	2,631447	396,895012	1,728759	1,000000	26,425151	6,256594	414,799901	1,728759	-1,000000	22,949274	6,256594	231,631296	1,110223	0,000000	-2,911693	2,631447	231,631296	1,117211	0,176954
	6375,000000	25,426767	22,785117	13,640412		22,689150	19,430480	23,123267	19,962096	23,066282	23,404731	23,105795	5,270262	1,632505	-2,911693	2,631447	396,895012	1,728759	1,000000	26,425151	6,256594	414,799901	1,728759	-1,000000	22,949274	6,256594	231,631296	1,110223	0,000000	-2,911693	2,631447	231,631296	1,117211	0,176954
	6376,000000	25,169129	22,763757	13,655878		22,684362	19,435243	23,131386	19,975005	23,074379	23,409547	23,127643	5,275388	1,629332	-2,933348	2,629332	396,882238	1,728772	1,000000	26,468653	6,263428	414,826693	1,728772	-1,000000	22,985377	6,263428	231,682465	1,110394	0,000000	-2,933348	2,629332	231,682465	1,117411	0,177339
	6377,000000	25,203923	22,789891	13,665398		22,689638	19,438488	23,126323	19,961114	23,061566	23,389214	23,122399	5,270262	1,632505	-2,933348	2,629332	396,882238	1,728772	1,000000	26,468653	6,263428	414,826693	1,728772	-1,000000	22,985377	6,263428	231,682465	1,110394	0,000000	-2,933348	2,629332	231,682465	1,117411	0,177339
	6378,000000	25,371029	22,784803	13,647209		22,692489	19,436232	23,122532	19,987146	23,094392	23,384635	23,115435	5,270262	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6379,000000	25,217843	22,782367	13,664453		22,691148	19,424478	23,140680	19,953165	23,065532	23,398334	23,135537	5,268554	1,630390	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6380,000000	25,224803	22,782778	13,636502		22,685415	19,445264	23,147864	19,977136	23,062712	23,402363	23,125431	5,270262	1,630390	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
