Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
17-05-2023	0,000000	0,000000	21,003163	15,564266		23,319693	19,921914	22,852553	23,218561	20,519562	23,161614	23,551202	-6,250000	-4,250000	-0,034092	2,924417	398,583557	1,727105	1,000000	26,002073	6,268554	414,344707	1,727105	-1,000000	23,012434	6,268554	231,720817	1,110522	0,000000	-0,034092	2,924417	231,720817	1,116145	0,159929
	1,000000	25,377996	21,004370	15,559764		23,340232	19,931119	22,887005	23,209073	20,530552	23,177278	23,559837	5,268554	1,944512	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	165,441875	0,867561	0,000000	-26,361188	1,000000	165,441875	0,867561	0,000000
	2,000000	25,371029	20,998244	15,573952		23,327409	19,918217	22,863308	23,224207	20,535224	23,170044	23,568296	5,266845	1,955089	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	165,441875	0,867561	0,000000	-26,361188	1,000000	165,441875	0,867561	0,000000
	3,000000	25,489492	20,999228	15,575209		23,319605	19,911581	22,866186	23,214615	20,528640	23,184359	23,564344	5,268554	1,965665	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	382,599224	1,747493	1,000000	-26,361188	1,000000	165,441875	0,867561	0,000000	-26,361188	1,000000	165,441875	0,867561	0,000000
	4,000000	25,322274	20,990387	15,566217		23,313929	19,907915	22,862312	23,231856	20,548049	23,164654	23,558463	5,263428	1,973069	-26,361188	1,000000	382,599224	1,747493	1,000000	Inf	-5,250000	Inf	1,747493	Inf	Inf	-5,250000	Inf	Inf	0,000000	Inf	1,000000	Inf	Inf	Inf
	5,000000	25,538295	20,978971	15,569097		23,316475	19,900765	22,867478	23,228468	20,540956	23,165482	23,565957	5,266845	1,985761	-26,361188	1,000000	382,599224	1,747493	1,000000	Inf	-5,250000	Inf	1,747493	Inf	Inf	-5,250000	Inf	Inf	0,000000	Inf	1,000000	Inf	Inf	Inf
	6,000000	25,308346	20,965642	15,579214		23,330387	19,909194	22,856672	23,215223	20,545973	23,149192	23,550983	5,265137	1,996337	0,254141	2,955089	398,751693	1,726945	1,000000	25,954631	6,268554	414,296945	1,726945	-1,000000	23,012434	6,268554	231,720817	1,110522	0,000000	0,254141	2,955089	231,720817	1,116015	0,158154
	7,000000	25,510406	20,971092	15,532316		23,309887	19,895546	22,865649	23,224019	20,558825	23,169272	23,570176	5,266845	2,000568	0,254141	2,955089	398,751693	1,726945	1,000000	25,954631	6,268554	414,296945	1,726945	-1,000000	23,012434	6,268554	231,720817	1,110522	0,000000	0,254141	2,955089	231,720817	1,116015	0,158154
	8,000000	25,440704	20,958078	15,559136		23,334316	19,901198	22,863974	23,234122	20,551050	23,173953	23,553998	5,266845	2,009029	0,254141	2,955089	398,751693	1,726945	1,000000	25,954631	6,268554	414,296945	1,726945	-1,000000	23,012434	6,268554	231,720817	1,110522	0,000000	0,254141	2,955089	231,720817	1,116015	0,158154
	9,000000	25,371029	20,942670	15,555052		23,311699	19,882351	22,866365	23,233264	20,569895	23,180192	23,561837	5,266845	2,015375	0,422037	2,973069	398,849546	1,726853	1,000000	25,917234	6,266845	414,263567	1,726853	-1,000000	23,003417	6,266845	231,708036	1,110479	0,000000	0,422037	2,973069	231,708036	1,115893	0,157053
		25,412831	20,952021	15,553155		23,310369	19,891985	22,866878	23,208908	20,545628	23,163597	23,549025	5,266845	2,017490	0,422037	2,973069	398,849546	1,726853	1,000000	25,917234	6,266845	414,263567	1,726853	-1,000000	23,003417	6,266845	231,708036	1,110479	0,000000	0,422037	2,973069	231,708036	1,115893	0,157053
		25,433735													0,677315	3,000568	398,998206	1,726713	1,000000	25,885577	6,268554	414,227412	1,726713	-1,000000	23,012434	6,268554	231,720817	1,110522	0,000000	0,677315	3,000568	231,720817	1,115826	0,155539
